module_postmerge	entrez_id	gene_symbol	corr_egs	module_number	module_size	hub	module
grey	id_10000	id_AKT3		0	7246		hPHH_0
grey	id_10002	id_NR2E3		0	7246		hPHH_0
grey	id_100038246	id_TLX1NB		0	7246		hPHH_0
grey	id_10003	id_NAALAD2		0	7246		hPHH_0
grey	id_10004	id_NAALADL1		0	7246		hPHH_0
grey	id_10008	id_KCNE3		0	7246		hPHH_0
grey	id_100101467	id_ZSCAN30		0	7246		hPHH_0
grey	id_100124700	id_HOTAIR		0	7246		hPHH_0
grey	id_100125288	id_ZGLP1		0	7246		hPHH_0
grey	id_100126793	id_GHRLOS		0	7246		hPHH_0
grey	id_100127983	id_C8orf88		0	7246		hPHH_0
grey	id_100128139	id_LINC01233		0	7246		hPHH_0
grey	id_100128731	id_OST4		0	7246		hPHH_0
grey	id_100128946	id_LINC01310		0	7246		hPHH_0
grey	id_100129128	id_KHDC1L		0	7246		hPHH_0
grey	id_100129482	id_ZNF37BP		0	7246		hPHH_0
grey	id_100129597	id_LINC00462		0	7246		hPHH_0
grey	id_100129654	id_TCF24		0	7246		hPHH_0
grey	id_100129726	id_LINC01126		0	7246		hPHH_0
grey	id_100129792	id_CCDC152		0	7246		hPHH_0
grey	id_100130348	id_TMEM262		0	7246		hPHH_0
grey	id_100130418	id_CECR7		0	7246		hPHH_0
grey	id_100130449	id_PP14571		0	7246		hPHH_0
grey	id_100130519	id_TMEM221		0	7246		hPHH_0
grey	id_100130613	id_PRR32		0	7246		hPHH_0
grey	id_100130733	id_LRRC70		0	7246		hPHH_0
grey	id_100130958	id_SYCE1L		0	7246		hPHH_0
grey	id_100131366	id_LINC00605		0	7246		hPHH_0
grey	id_100131434	id_LINC00893		0	7246		hPHH_0
grey	id_100131755	id_ARMCX4		0	7246		hPHH_0
grey	id_100131801	id_PET100		0	7246		hPHH_0
grey	id_100131814	id_LINC00271		0	7246		hPHH_0
grey	id_100131816	id_UBE2DNL		0	7246		hPHH_0
grey	id_100131827	id_ZNF717		0	7246		hPHH_0
grey	id_100131897	id_FAM196B		0	7246		hPHH_0
grey	id_100132341	id_CLUHP3		0	7246		hPHH_0
grey	id_100132596	id_XG		0	7246		hPHH_0
grey	id_100132987	id_LINC00856		0	7246		hPHH_0
grey	id_100133319	id_PRO1804		0	7246		hPHH_0
grey	id_100133461	id_LINC02171		0	7246		hPHH_0
grey	id_100133612	id_LINC01134		0	7246		hPHH_0
grey	id_100133985	id_LINC01816		0	7246		hPHH_0
grey	id_100134259	id_LINC01119		0	7246		hPHH_0
grey	id_100141515	id_C17orf99		0	7246		hPHH_0
grey	id_100144597	id_LINC01056		0	7246		hPHH_0
grey	id_100144748	id_KLLN		0	7246		hPHH_0
