"","sample_ID","sample_type","compound_ID","compound_CAS","compound_name","compound_abbr","mean_ID","mean_ID_control","control_type","conc_ID","conc_amt","conc_unit","conc_max","conc_min","rep","read_depth","plate_ID","plate_well","plate_row","plate_col","batch","timepoint","cell_type","compound_class","LOAEL_amt","LOAEL_unit","PBPK_equivalent","PBPK_serum_level","lib_size","low_reads_flag","max_r2","low_corr_flag"
"1","CS1106_C1_P1_R1","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_1_P1","DMSOLow_P1","DMSOLow",1,0.03,"µM",180,0.03,1,143.809213154041,"P1","A8","A",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3240453,FALSE,0.977141115671248,FALSE
"2","CS1106_C1_P1_R2","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_1_P1","DMSOLow_P1","DMSOLow",1,0.03,"µM",180,0.03,2,133.425331735677,"P1","A8","A",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3006473,FALSE,0.977141115671248,FALSE
"3","CS1106_C1_P1_R3","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_1_P1","DMSOLow_P1","DMSOLow",1,0.03,"µM",180,0.03,3,154.854613233924,"P1","G8","G",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3489339,FALSE,0.975947669726214,FALSE
"4","CS1106_C2_P1_R1","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_2_P1","DMSOLow_P1","DMSOLow",2,0.3,"µM",180,0.03,1,149.297208538588,"P1","B8","B",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3364114,FALSE,0.9721125262131,FALSE
"5","CS1106_C2_P1_R2","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_2_P1","DMSOLow_P1","DMSOLow",2,0.3,"µM",180,0.03,2,135.816180712732,"P1","B8","B",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3060346,FALSE,0.97574629991185,FALSE
"6","CS1106_C2_P1_R3","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_2_P1","DMSOLow_P1","DMSOLow",2,0.3,"µM",180,0.03,3,148.305108063729,"P1","F8","F",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3341759,FALSE,0.97574629991185,FALSE
"7","CS1106_C3_P1_R1","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_3_P1","DMSOLow_P1","DMSOLow",3,1,"µM",180,0.03,1,174.103936448764,"P1","C8","C",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3923084,FALSE,0.978964450942647,FALSE
"8","CS1106_C3_P1_R2","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_3_P1","DMSOLow_P1","DMSOLow",3,1,"µM",180,0.03,2,185.577686060445,"P1","C8","C",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",4181622,FALSE,0.978964450942647,FALSE
"9","CS1106_C3_P1_R3","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_3_P1","DMSOLow_P1","DMSOLow",3,1,"µM",180,0.03,3,161.914125948609,"P1","E8","E",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3648411,FALSE,0.976873911966216,FALSE
"10","CS1106_C4_P1_R1","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_4_P1","DMSOLow_P1","DMSOLow",4,3.1,"µM",180,0.03,1,158.080726046243,"P1","D8","D",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3562033,FALSE,0.976040925436622,FALSE
"11","CS1106_C4_P1_R2","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_4_P1","DMSOLow_P1","DMSOLow",4,3.1,"µM",180,0.03,2,157.75134247548,"P1","D8","D",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3554611,FALSE,0.976040925436622,FALSE
