"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Toxicity"
"1","Steroid Metabolic Process (GO:0008202)","10/106",1.89754987176649e-08,2.32260104304218e-05,0,0,13.1797542735043,234.337576060382,"UGT2B10;UGT1A1;AKR1C1;AKR1C3;UGT1A3;AKR1C4;CYP2C19;CYP3A5;UGT2B7;UGT1A7","High"
"2","Retinoid Metabolic Process (GO:0001523)","8/64",5.66994256828149e-08,3.47000485178827e-05,0,0,17.8824593128391,298.377806253723,"RBP4;UGT1A1;AKR1C1;AKR1C3;UGT1A3;AKR1C4;CYP3A5;UGT1A7","High"
"3","Estrogen Metabolic Process (GO:0008210)","6/31",1.85125077307938e-07,7.55310315416386e-05,0,0,29.7135,460.625634319752,"UGT2B10;UGT1A1;UGT1A3;CYP3A5;UGT1A7;UGT2B7","High"
"4","Aminoglycoside Antibiotic Metabolic Process (GO:0030647)","3/8",3.04979346043659e-05,0.00687191612073837,0,0,72.9901840490798,758.941101600018,"AKR1C1;AKR1C3;AKR1C4","High"
"5","Daunorubicin Metabolic Process (GO:0044597)","3/8",3.04979346043659e-05,0.00687191612073837,0,0,72.9901840490798,758.941101600018,"AKR1C1;AKR1C3;AKR1C4","High"
"6","Xenobiotic Catabolic Process (GO:0042178)","4/23",3.58308906576669e-05,0.00687191612073837,0,0,25.7504873294347,263.600017999148,"PRKCE;CYP2C19;CYP3A5;UGT1A7","High"
"7","Polyketide Metabolic Process (GO:0030638)","3/9",4.54679243942918e-05,0.00687191612073837,0,0,60.8220858895706,608.129834932478,"AKR1C1;AKR1C3;AKR1C4","High"
"8","Doxorubicin Metabolic Process (GO:0044598)","3/9",4.54679243942918e-05,0.00687191612073837,0,0,60.8220858895706,608.129834932478,"AKR1C1;AKR1C3;AKR1C4","High"
"9","Retinoic Acid Metabolic Process (GO:0042573)","4/25",5.05287950054292e-05,0.00687191612073837,0,0,23.2957084068195,230.463678844614,"UGT1A1;UGT1A3;CYP3A5;UGT1A7","High"
"10","Negative Regulation of Fatty Acid Metabolic Process (GO:0045922)","4/26",5.93308061952587e-05,0.00726209067829967,0,0,22.2356902356902,216.406228949521,"UGT1A1;APOC1;UGT1A3;UGT1A7","High"
"11","Prostaglandin Metabolic Process (GO:0006693)","4/30",0.000105983409593531,0.0117930630311347,0,0,18.8110161443495,172.162708464811,"AKR1C1;AKR1C3;AKR1C4;S100A9","High"
"12","Tertiary Alcohol Metabolic Process (GO:1902644)","3/13",0.000151068384711012,0.0146138763721952,0,0,36.4858895705521,320.994754559744,"AKR1C1;AKR1C3;AKR1C4","High"
"13","Negative Regulation of Lipid Metabolic Process (GO:0045833)","4/33",0.000155212739247171,0.0146138763721952,0,0,16.8624946785866,147.896115973865,"UGT1A1;APOC1;UGT1A3;UGT1A7","High"
"14","Positive Regulation of Release of Sequestered Calcium Ion Into Cytosol (GO:0051281)","4/36",0.000219146004334105,0.0191596220932103,0,0,15.2793209876543,128.740080515825,"CXCL10;CXCL9;CXCL11;CALM2","High"
"15","Glycoside Metabolic Process (GO:0016137)","3/15",0.000237418797534893,0.0193733738788473,0,0,30.4018404907975,253.724181057543,"AKR1C1;AKR1C3;AKR1C4","High"
"16","Defense Response to Virus (GO:0051607)","8/198",0.000254411908587809,0.0194625110069674,0,0,5.23491005996003,43.3270258322862,"CXCL10;STAT2;DDX60L;RNASE1;IFI44L;IFIT3;IFIT2;BCL2L1","High"
"17","Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)","4/38",0.000271095615625755,0.0195188843250544,0,0,14.3790849673203,118.095985248863,"CNN1;IGFBP5;MMP2;SOD2","High"
"18","C21-steroid Hormone Metabolic Process (GO:0008207)","3/16",0.000290429819919688,0.0197492277545388,0,0,28.0618216139689,228.539645059646,"AKR1C1;AKR1C3;AKR1C4","High"
"19","Lipid Metabolic Process (GO:0006629)","9/259",0.00032264049282282,0.0207848401692175,0,0,4.49059872611465,36.099796883288,"UGT2B10;UGT1A1;APOC1;AKR1C3;AKR1C4;CYP2C19;CYP3A5;UGT2B7;UGT1A7","High"
"20","Neutrophil Chemotaxis (GO:0030593)","4/43",0.000438865383893109,0.0268585614942583,0,0,12.5324469768914,96.892330822693,"CXCL10;CXCL9;S100A9;S100A8","High"
"21","Regulation of Fatty Acid Metabolic Process (GO:0019217)","3/20",0.000576986313391402,0.033041588926684,0,0,21.4547094911584,160.00261559263,"UGT1A1;UGT1A3;UGT1A7","High"
"22","Chemokine-Mediated Signaling Pathway (GO:0070098)","4/47",0.00061816653433947,0.033041588926684,0,0,11.3643410852713,83.9683054657519,"CXCL10;CXCL9;CXCL11;CCL15","High"
"23","Cellular Response to Chemokine (GO:1990869)","4/48",0.000670038113116742,0.033041588926684,0,0,11.1054994388328,81.160944044308,"CXCL10;CXCL9;CXCL11;CCL15","High"
"24","Primary Alcohol Metabolic Process (GO:0034308)","4/48",0.000670038113116742,0.033041588926684,0,0,11.1054994388328,81.160944044308,"RBP4;AKR1C1;AKR1C3;AKR1C4","High"
"25","Monocarboxylic Acid Metabolic Process (GO:0032787)","6/127",0.000674869054875082,0.033041588926684,0,0,6.10940082644628,44.6046858175367,"LDHA;UGT1A1;AKR1C1;UGT1A3;CYP3A5;UGT1A7","High"
"26","Regulation of Interleukin-2 Production (GO:0032663)","4/50",0.000782903535780353,0.035491626955376,0,0,10.621578099839,75.9708487008203,"GLMN;RPS3;GBP1;RUNX1","High"
"27","Neutrophil Migration (GO:1990266)","4/50",0.000782903535780353,0.035491626955376,0,0,10.621578099839,75.9708487008203,"CXCL10;CXCL9;S100A9;S100A8","High"
"28","Regulation of Lipid Metabolic Process (GO:0019216)","4/51",0.000844088781614269,0.0368987381677095,0,0,10.3950617283951,73.5684805281848,"RNF213;MID1IP1;APOC1;CERS2","High"
"29","Prostanoid Metabolic Process (GO:0006692)","3/23",0.000880126520930021,0.0371474090213222,0,0,18.2337423312883,128.282489256311,"AKR1C1;AKR1C3;AKR1C4","High"
"30","Regulation of Protein Localization to Plasma Membrane (GO:1903076)","5/90",0.000923152297741818,0.0376646137478662,0,0,7.21556448666423,50.4203178232326,"DLG1;PRKCE;STX3;GBP1;BCL2L1","High"
"31","Regulation of Release of Sequestered Calcium Ion Into Cytosol (GO:0051279)","4/53",0.0009764437877146,0.0384372316898815,0,0,9.9697656840514,69.1063617595809,"CXCL10;CXCL9;CXCL11;CALM2","High"
"32","Negative Regulation of Lipase Activity (GO:0060192)","2/6",0.00100489494614069,0.0384372316898815,0,0,60.4573170731707,417.32913779317,"APOC1;PLIN5","High"
"33","Protein Homooligomerization (GO:0051260)","6/143",0.00125082365418298,0.0443698664678538,0,0,5.39151459854015,36.0366302903829,"STEAP4;TDO2;AKR1C1;SSBP1;SOD2;S100A9","High"
"34","Diterpenoid Metabolic Process (GO:0016101)","3/26",0.00126874618167883,0.0443698664678538,0,0,15.8530274739931,105.735351498766,"AKR1C1;AKR1C3;AKR1C4","High"
"35","Positive Regulation of Interleukin-2 Production (GO:0032743)","3/26",0.00126874618167883,0.0443698664678538,0,0,15.8530274739931,105.735351498766,"GLMN;RPS3;RUNX1","High"
"36","Positive Regulation of Supramolecular Fiber Organization (GO:1902905)","5/98",0.00135272904123395,0.0459927874019543,0,0,6.59219929205904,43.5456374192092,"PRKCE;PLEK;LMOD1;RPS3;RNASE1","High"
"37","Leukocyte Aggregation (GO:0070486)","2/7",0.00139918426440188,0.0462865280980515,0,0,48.3634146341463,317.837874496804,"S100A9;S100A8","High"
"38","Cytoplasmic Translation (GO:0002181)","5/101",0.00154671218236657,0.0475705313197026,0,0,6.38522256728778,41.3227581661284,"RPL7A;RPS3;RPL38;RPL27;RPS20","High"
"39","Inflammatory Response (GO:0006954)","8/261",0.00154917291311228,0.0475705313197026,0,0,3.91874718567069,25.3544279006305,"CXCL10;GSDMB;CXCL9;FPR1;RNASE1;S100A9;S100A8;CCL15","High"
"40","Negative Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001243)","4/60",0.00155459252678767,0.0475705313197026,0,0,8.72045855379189,56.3912098259967,"TXNDC12;ENO1;SOD2;BCL2L1","High"
"41","Regulation of Reactive Oxygen Species Metabolic Process (GO:2000377)","4/61",0.00165305084888645,0.0493496155862687,0,0,8.56703487112844,54.8729951868771,"AKR1C1;AKR1C3;RNASE1;PLIN5","High"
"42","Negative Regulation of Ferroptosis (GO:0110076)","2/8",0.00185541581815686,0.0540721181291427,0,0,40.3008130081301,253.477865360352,"FTH1;SC5D","High"
"43","Regulation of Muscle Contraction (GO:0006937)","3/30",0.00193363589299955,0.0549217292566128,0,0,13.5017041581459,84.3634159224476,"CNN1;ENO1;PPP1R12B","High"
"44","Granulocyte Chemotaxis (GO:0071621)","4/64",0.00197431052883249,0.0549217292566128,0,0,8.13744855967078,50.6762541863499,"CXCL10;CXCL9;S100A9;S100A8","High"
"45","Apoptotic Mitochondrial Changes (GO:0008637)","3/32",0.00233378092117802,0.0617871737926057,0,0,12.569282843241,76.173192602866,"SOD2;IFIT2;BCL2L1","High"
"46","Regulation of Respiratory Burst (GO:0060263)","2/9",0.00237254670608862,0.0617871737926057,0,0,34.5418118466899,208.763503349416,"RNASE1;S100A9","High"
"47","Progesterone Metabolic Process (GO:0042448)","2/9",0.00237254670608862,0.0617871737926057,0,0,34.5418118466899,208.763503349416,"AKR1C3;AKR1C4","High"
"48","Cortical Cytoskeleton Organization (GO:0030865)","3/33",0.00255163869306351,0.0650667866731195,0,0,12.1496932515337,72.5460553418577,"DLG1;PLEK;RNASE1","High"
"49","Negative Regulation of Small Molecule Metabolic Process (GO:0062014)","3/34",0.00278165868067294,0.0692846614605081,0,0,11.7571739560657,69.1875342431795,"UGT1A1;UGT1A3;UGT1A7","High"
"50","Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)","5/116",0.0028360124019259,0.0692846614605081,0,0,5.51815790946226,32.3659622436901,"CXCL10;CXCL11;CXCL9;S100A9;CCL15","High"
"51","Positive Regulation of Protein Polymerization (GO:0032273)","4/71",0.00288686089418784,0.0692846614605081,0,0,7.28468767274737,42.5978344659665,"PRKCE;LMOD1;RPS3;RNASE1","High"
"52","Copper Ion Transport (GO:0006825)","2/10",0.00294954688137821,0.0694277958232102,0,0,30.2225609756098,176.079774926743,"STEAP4;CUTC","High"
"53","Negative Regulation of Smooth Muscle Cell Proliferation (GO:0048662)","3/36",0.00327905298975928,0.0757275633861388,0,0,11.0435025097602,63.1710499133387,"CNN1;IGFBP5;SOD2","High"
"54","Spliceosomal snRNP Assembly (GO:0000387)","3/37",0.0035468414741332,0.0797914253016277,0,0,10.7181522915915,60.4685761727953,"GEMIN4;PRPF19;PRPF8","High"
"55","Regulation of Ferroptosis (GO:0110075)","2/11",0.00358539901273654,0.0797914253016277,0,0,26.8631436314363,151.263286240739,"FTH1;SC5D","High"
"56","Positive Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001244)","3/39",0.00412157895601073,0.0900859400385203,0,0,10.1216768916155,55.5833804286428,"RPS3;S100A9;S100A8","High"
"57","DNA Strand Elongation Involved in DNA Replication (GO:0006271)","2/12",0.00427909834980946,0.0903037306925308,0,0,24.1756097560976,131.854088865558,"POLD2;POLE3","High"
"58","T Cell Chemotaxis (GO:0010818)","2/12",0.00427909834980946,0.0903037306925308,0,0,24.1756097560976,131.854088865558,"CXCL10;CXCL11","High"
"59","Proteolysis Involved in Protein Catabolic Process (GO:0051603)","4/80",0.00443653805947561,0.0920393658440365,0,0,6.41910331384016,34.7779373868798,"PSMB1;UBC;GLMN;PRPF19","High"
"60","Positive Regulation of Apoptotic Process (GO:0043065)","8/313",0.00470729996093779,0.0953064052249728,0,0,3.24200041502386,17.372715671723,"HSPA9;UBD;GLMN;ECSCR;RPS3;AKR1C3;IFIT2;BCL2L1","High"
"61","Positive Regulation of DNA Biosynthetic Process (GO:2000573)","3/41",0.00474974731921842,0.0953064052249728,0,0,9.58798837584759,51.2925148881161,"SMOC2;CCT8;HNRNPA1","High"
"62","Macromolecule Biosynthetic Process (GO:0009059)","6/189",0.005016550369574,0.0967164509043898,0,0,4.02684426229508,21.32219174683,"RPL7A;ABCC6;RPS3;RPL38;RPL27;RPS20","High"
"63","Regulation of Pattern Recognition Receptor Signaling Pathway (GO:0062207)","2/13",0.00502965258613718,0.0967164509043898,0,0,21.9767184035477,116.309680420898,"S100A9;S100A8","High"
"64","Protein Tetramerization (GO:0051262)","4/83",0.00505706932833411,0.0967164509043898,0,0,6.17440225035162,32.6438680280687,"TDO2;SSBP1;SOD2;CUTC","High"
"65","Spliceosomal tri-snRNP Complex Assembly (GO:0000244)","2/14",0.00583608172662611,0.108232788384702,0,0,20.1443089430894,103.616194172891,"PRPF19;PRPF8","High"
"66","Protein Homotrimerization (GO:0070207)","2/14",0.00583608172662611,0.108232788384702,0,0,20.1443089430894,103.616194172891,"STEAP4;S100A9","High"
"67","Positive Regulation of Calcium Ion Transmembrane Transport (GO:1904427)","3/45",0.00617170242216488,0.110778913204403,0,0,8.67309377738826,44.1267979140049,"CXCL10;CXCL9;CXCL11","High"
"68","Endothelial Cell Migration (GO:0043542)","3/45",0.00617170242216488,0.110778913204403,0,0,8.67309377738826,44.1267979140049,"GLMN;S100A9;S100A8","High"
"69","Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001242)","3/46",0.00656257537716418,0.110778913204403,0,0,8.47096590098445,42.5782272161034,"S100A9;S100A8;BCL2L1","High"
"70","Regulation of Calcium-Mediated Signaling (GO:0050848)","3/46",0.00656257537716418,0.110778913204403,0,0,8.47096590098445,42.5782272161034,"PLEK;GBP1;CALM2","High"
"71","Regulation of Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:1902229)","2/15",0.00669741795516818,0.110778913204403,0,0,18.593808630394,93.0812234425682,"RPS3;BCL2L1","High"
"72","Retinal Metabolic Process (GO:0042574)","2/15",0.00669741795516818,0.110778913204403,0,0,18.593808630394,93.0812234425682,"AKR1C1;AKR1C3","High"
"73","Copper Ion Homeostasis (GO:0055070)","2/15",0.00669741795516818,0.110778913204403,0,0,18.593808630394,93.0812234425682,"MT2A;CUTC","High"
