Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Toxicity
Steroid Metabolic Process (GO:0008202),9/106,4.4788895128467796e-7,5.486639653237305e-4,0,0,10.829317391569573,158.31076428152195,UGT2B10;UGT1A1;AKR1C1;AKR1C3;UGT1A3;AKR1C4;CYP2C19;UGT2B7;UGT1A7,High
Retinoid Metabolic Process (GO:0001523),7/64,1.5921021617371752e-6,9.751625740640197e-4,0,0,14.194623986867754,189.50469304629104,RBP4;UGT1A1;AKR1C1;AKR1C3;UGT1A3;AKR1C4;UGT1A7,High
Estrogen Metabolic Process (GO:0008210),5/31,7.4338619493096134e-6,0.0030354936293014254,0,0,22.00533570475767,259.87124306052124,UGT2B10;UGT1A1;UGT1A3;UGT1A7;UGT2B7,High
Cytoplasmic Translation (GO:0002181),7/101,3.344258698758116e-5,0.007669097609760367,0,0,8.591265397536395,88.53883551026857,RPL7A;RPS3;RPL38;RPL27;RPS20;EIF2S2;RPS21,High
Aminoglycoside Antibiotic Metabolic Process (GO:0030647),3/8,3.756292706821404e-5,0.007669097609760367,0,0,67.944,692.314910774729,AKR1C1;AKR1C3;AKR1C4,High
Daunorubicin Metabolic Process (GO:0044597),3/8,3.756292706821404e-5,0.007669097609760367,0,0,67.944,692.314910774729,AKR1C1;AKR1C3;AKR1C4,High
Polyketide Metabolic Process (GO:0030638),3/9,5.59755265654178e-5,0.0085712525053296,0,0,56.61714285714286,554.3155717301249,AKR1C1;AKR1C3;AKR1C4,High
Doxorubicin Metabolic Process (GO:0044598),3/9,5.59755265654178e-5,0.0085712525053296,0,0,56.61714285714286,554.3155717301249,AKR1C1;AKR1C3;AKR1C4,High
Negative Regulation of Fatty Acid Metabolic Process (GO:0045922),4/26,7.780538184738088e-5,0.010590176973671287,0,0,20.689655172413794,195.75103352599098,UGT1A1;APOC1;UGT1A3;UGT1A7,High
Prostaglandin Metabolic Process (GO:0006693),4/30,1.3871972775252736e-4,0.016993166649684602,0,0,17.50309460654288,155.48095219143642,AKR1C1;AKR1C3;AKR1C4;S100A9,High
Tertiary Alcohol Metabolic Process (GO:1902644),3/13,1.856455529783273e-4,0.02067416385440463,0,0,33.96342857142857,291.80261557391094,AKR1C1;AKR1C3;AKR1C4,High
Negative Regulation of Lipid Metabolic Process (GO:0045833),4/33,2.0286501551796722e-4,0.020709137000792487,0,0,15.690051525961158,133.41203347429536,UGT1A1;APOC1;UGT1A3;UGT1A7,High
Positive Regulation of Release of Sequestered Calcium Ion Into Cytosol (GO:0051281),4/36,2.8601833673234375e-4,0.02550610060300384,0,0,14.216954022988507,116.00259139491416,CXCL10;CXCL9;CXCL11;CALM2,High
Glycoside Metabolic Process (GO:0016137),3/15,2.914982926057582e-4,0.02550610060300384,0,0,28.3,230.3754823877465,AKR1C1;AKR1C3;AKR1C4,High
C21-steroid Hormone Metabolic Process (GO:0008207),3/16,3.564243314916454e-4,0.029107987071817706,0,0,26.121758241758243,207.39078945340708,AKR1C1;AKR1C3;AKR1C4,High
Defense Response to Virus (GO:0051607),8/198,4.0687669421768293e-4,0.03115149690104135,0,0,4.862414860681114,37.960874670083996,CXCL10;STAT2;DDX60L;RNASE1;IFI44L;IFIT3;IFIT2;BCL2L1,High
Neutrophil Chemotaxis (GO:0030593),4/43,5.708873378165732e-4,0.04113746993090013,0,0,11.661066902446212,87.08856371302976,CXCL10;CXCL9;S100A9;S100A8,High
Regulation of Fatty Acid Metabolic Process (GO:0019217),3/20,7.068287601900433e-4,0.04810362395737795,0,0,19.97142857142857,144.88716477776316,UGT1A1;UGT1A3;UGT1A7,High
Chemokine-Mediated Signaling Pathway (GO:0070098),4/47,8.0260836526893e-4,0.050723542451676595,0,0,10.574178027265438,75.36897316051693,CXCL10;CXCL9;CXCL11;CCL15,High
