Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Toxicity
Translation (GO:0006412),92/232,2.0839202013055286e-16,9.752746542109873e-13,0,0,3.2544500365638576,117.50878759420135,HBS1L;MRPS15;RPL31;GFM2;MRPS11;RPLP1;RPLP0;MRPL37;RPL8;RPL9;MRPL32;MRPL33;MRPL41;MRPL4;RPS14;RPL7A;RPS17;RPS19;MTG1;RPL36;RACK1;RPL35;RPLP2;MRPL9;RPS12;MRPS26;RPS9;RPL21;MRPS25;RPS8;RPL23;MRPS22;RPL13A;RPSA;MRPL48;GTPBP2;MRPL45;MRPL46;DARS1;TUFM;MRPL52;EEF1A1;EEF1G;MRPL53;MRPS9;SARS1;EEF1A2;RPL27;RPL26;RPL28;RPS4Y2;MRPS35;MRPL18;MRPS33;RPL12;MRPL19;MRPS34;RPL11;MRPL14;MRPL58;MRPL12;GSPT2;MRPL13;MRPL54;RPS15A;RPL14;IARS2;DTD1;ZC3H15;RPL19;ABCF1;RPL41;VTA1;RPL35A;RPL23A;MRPL23;WARS1;MRPL30;RPS26;RPS25;GARS1;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;ABCE1;RPS21;RSL24D1;RPL26L1;RPS23,Low
Proton Motive Force-Driven ATP Synthesis (GO:0015986),37/59,5.656377670758136e-15,1.3235923749574038e-11,0,0,8.252167707884533,270.720553543382,NDUFB9;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;NDUFB1;ATP5MGL;ATP5MK;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5PF;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA2;NDUFA1;NDUFC1;SDHD;ATP5F1C;SDHB;ATP5F1E;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO,Low
Cytoplasmic Translation (GO:0002181),51/101,1.2102711917465681e-14,1.8880230591246462e-11,0,0,5.017174301011303,160.77709064272602,EIF4A1;RPL31;RPLP1;RPLP0;RPL8;RPL9;RPS14;RPL7A;RPS17;RPS19;RPL36;RACK1;RPL35;RPLP2;EIF2B1;RPS12;RPS9;RPL21;RPS8;RPL23;RPL13A;RPSA;SARS1;RPL27;RPL26;RPL28;RPL12;RPL11;MRPL13;RPS15A;RPL14;ZC3H15;RPL19;RPL41;VTA1;RPL35A;RPL23A;RPS26;RPS25;RPS28;EIF3M;RPS27;RPS29;RPL27A;EIF3I;RPS20;RPL22L1;RPS21;RSL24D1;RPL26L1;RPS23,Low
Gene Expression (GO:0010467),124/381,7.8487618279123e-14,7.833990420767161e-11,0,0,2.395581072623874,72.2886604019397,RPL31;CISD1;HNRNPU;RPL8;RPL9;CISD3;GLE1;CHCHD4;RPS14;RPS17;RPS19;RPL36;RPL35;CIAO2A;CIAO2B;RPS12;RPS9;RPL21;RPS8;RPL23;RPSA;THOC2;THOC5;THOC7;THAP1;THOC6;EEF1A1;DDX39B;BOLA3;XRN2;EEF1A2;RPL27;RPL26;RPL28;ZCCHC8;RPS4Y2;DHX8;MRPL18;BAZ2A;MRPL12;GSPT2;MRPL13;ATXN1;HNRNPDL;NUP88;SMAD2;RPL41;CHTOP;RBPMS;ALYREF;MRPL23;MRPL30;RPS26;SETX;ISG20;RPS25;PPP5C;RPS28;HNRNPK;RPS27;RPS29;RPL27A;MPHOSPH10;RPS20;RPS21;RSL24D1;RPS23;HBS1L;MRPS15;MRPS11;RPLP1;RPLP0;MRPL37;BICD1;MRPL32;SMG5;MRPL41;RPL7A;XPO1;CASP4;CASP1;RPLP2;MRPL9;RBM5;RBM6;NCBP1;GLRX5;ABCC6;DDX54;RPL13A;DARS1;MRPL52;SARS1;MED20;YAE1;MRPS33;RPL12;MRPS34;RPL11;DDX20;LMF2;HSPD1;LMF1;EXOSC7;EXOSC6;EXOSC5;EXOSC10;RPS15A;PABPN1;TAF1B;EXOSC8;RPL14;DTD1;EIF4E;RPL19;ABCF1;MBTPS1;RBM39;RPL35A;RPL23A;WARS1;GOLPH3;MCM3AP;POLR3A,Low
Oxidative Phosphorylation (GO:0006119),36/60,9.419327448914004e-14,7.833990420767161e-11,0,0,7.356973645247261,220.6608564718102,NDUFB9;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;UQCRH;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5PF;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA2;NDUFA1;NDUFC1;SDHD;ATP5F1C;SDHB;ATP5F1E;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO;SLC25A51;UQCRC2,Low
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),33/52,1.0165987954319164e-13,7.833990420767161e-11,0,0,8.513609467455622,254.70287756933882,NDUFB9;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5PF;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA2;NDUFA1;NDUFC1;SDHD;ATP5F1C;SDHB;ATP5F1E;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO,Low
Macromolecule Biosynthetic Process (GO:0009059),75/189,1.1717507039609002e-13,7.833990420767161e-11,0,0,3.2467046135410427,96.6709780783086,HBS1L;MRPS15;RPL31;MRPS11;RPLP1;RPLP0;MRPL37;RPL8;RPL9;MRPL32;MRPL41;RPS14;RPL7A;RPS17;RPS19;RPL36;RPL35;RPLP2;MRPL9;RPS12;RPS9;RPL21;RPS8;RPL23;ABCC6;RPL13A;RPSA;GTPBP2;DARS1;TUFM;EEF1A1;EEF1G;MRPL52;SARS1;PTRH2;EEF1A2;RPL27;RPL26;RPL28;RPS4Y2;MRPL18;MRPS33;RPL12;MRPS34;RPL11;MRPL12;GSPT2;MRPL13;RPS15A;HAS3;RPL14;APOE;DTD1;ABCF1;RPL19;RPL41;RPL35A;RPL23A;INHBA;MRPL23;WARS1;EXT1;MRPL30;RPS26;RPS25;RPS28;GOLPH3;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;EIF4G2;RPS23,Low
RNA Processing (GO:0006396),98/291,3.4264868672271022e-12,2.0044948173278546e-9,0,0,2.5111355981212733,66.2926881039344,GEMIN2;RPP30;H2AB1;HNRNPU;VIRMA;CCAR2;RPS17;RPS19;SNRPD2;MTREX;SNRPD3;CMTR1;WDR74;ZCRB1;SRRM1;PRPF6;DDX39B;XRN2;RPP21;SBDS;SNRPG;RPL27;SRSF4;RPL26;SRSF5;SRSF9;ZCCHC8;DHX8;NOP2;RRP7A;ATXN1;HNRNPDL;PPARGC1A;NOP14;INTS1;RBPMS;FUS;YJU2;LSM4;SETX;ISG20;RPS25;RPS28;HNRNPK;RPS27;LSM6;MPHOSPH10;HNRNPC;INTS9;INTS12;INTS14;DDX47;CHD8;INTS10;TENT4A;USP39;BICD1;PPP1R9B;METTL14;FASTK;BCAS2;RBM5;RBM6;WDR36;NCBP1;PRMT1;DDX54;SFPQ;FASTKD5;RP9;SNRPA1;YJU2B;RPL11;DDX20;NOL3;NOL6;MRM3;EXOSC7;EXOSC6;ARVCF;EXOSC5;EXOSC10;PABPN1;U2AF2;EXOSC8;RPL14;METTL5;RRP36;DCAF13;RBM39;SF3A1;TRMT10C;SSB;RPL35A;NUDT21;ACIN1;NRDE2;TRMT61B,Low
Aerobic Electron Transport Chain (GO:0019646),35/64,8.78663960105533e-12,4.5690525925487716e-9,0,0,5.91586533553827,150.60485013508617,NDUFB9;COX7B;NDUFB8;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;COX7A2;UQCR10;COX5A;UQCRH;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC1;SDHD;SDHB;UQCRHL;NDUFS8;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;SLC25A51;UQCRC2,Low
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),35/65,1.5917998057462027e-11,7.449623090892228e-9,0,0,5.718324452338662,142.17796426954342,NDUFB9;COX7B;NDUFB8;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;COX7A2;UQCR10;COX5A;UQCRH;NDUFV3;NDUFV2;NDUFV1;COA6;COX8A;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC1;SDHD;SDHB;UQCRHL;NDUFS8;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;UQCRC2,Low
